beta,gamma,rx,ry
0.852842,1.682307,0.196017,0.297257
1.315316,2.764373,0.397071,0.297952
1.165399,2.732803,0.394451,0.288270
0.794992,1.685937,0.200322,0.283018
0.647707,1.271881,0.137783,0.295954
0.518185,1.091108,0.118844,0.283500
0.673112,1.415808,0.159373,0.283666
1.076826,2.168737,0.280421,0.296243
1.353642,2.808585,0.405968,0.299636
1.095828,2.550846,0.358139,0.282667
1.018271,2.893580,0.431817,0.287519
1.157329,2.812762,0.411279,0.289450
1.053934,2.097461,0.267102,0.297975
0.771255,2.938839,0.447488,0.284546
1.297434,2.952333,0.437131,0.299124
1.175999,2.760720,0.400134,0.289591
0.209496,0.377322,0.060044,0.299256
0.575891,1.226159,0.135098,0.281483
0.458298,0.937225,0.101768,0.288053
0.876566,2.920403,0.441156,0.285221
1.113380,2.444943,0.336442,0.287277
1.074661,2.161702,0.279665,0.296491
0.789347,2.895978,0.439795,0.280499
1.313263,2.892496,0.424191,0.297902
1.261037,2.717162,0.388584,0.295368
1.035417,2.799231,0.412564,0.282820
0.725181,2.920855,0.446453,0.281586
1.121384,2.890769,0.428306,0.290912
1.270736,2.602958,0.364793,0.297899
0.452116,0.928784,0.101091,0.287546
1.020918,2.816943,0.416683,0.283050
1.210627,2.633433,0.371880,0.291834
1.201820,2.718741,0.390472,0.290983
1.095650,2.650401,0.379262,0.282428
0.298969,0.665671,0.081115,0.280075
1.104181,2.549527,0.357762,0.283454
1.083931,2.427666,0.333099,0.283816
0.503921,1.021817,0.109985,0.289318
1.221365,2.934580,0.434748,0.295923
1.240871,2.816410,0.409942,0.293588
1.189972,2.608807,0.367556,0.290929
0.119235,0.203630,0.055308,0.298398
1.038065,2.741224,0.400383,0.280671
0.053330,0.120874,0.055373,0.290116
1.226103,2.740761,0.394331,0.292585
1.100092,2.945078,0.439972,0.293204
0.280340,0.544544,0.070361,0.294410
1.354789,2.836386,0.411712,0.299646
1.226471,2.746128,0.395423,0.292677
1.011223,1.995155,0.248826,0.298787
1.055795,2.358325,0.320183,0.282824
0.315395,2.962561,0.467091,0.282544
0.912039,1.856800,0.226007,0.291900
0.989607,1.957416,0.242045,0.298367
1.112145,2.927720,0.436121,0.291964
1.157003,2.547077,0.355861,0.289038
1.230228,2.904976,0.428445,0.295234
1.306046,2.857174,0.416787,0.297872
1.101856,2.884742,0.427586,0.289887
0.787173,1.535330,0.173486,0.298869
1.240842,2.720465,0.389342,0.293753
1.082619,2.481780,0.344620,0.281764
0.988238,2.907410,0.435490,0.287214
1.052117,2.766900,0.405127,0.282104
0.981174,2.157356,0.281629,0.281464
1.100841,2.528985,0.353548,0.283643
1.165879,2.591904,0.364672,0.288905
0.820481,1.609406,0.184954,0.297968
1.319191,2.804752,0.405840,0.297655
0.972926,2.858519,0.426470,0.283411
1.307375,2.933036,0.432846,0.298796
0.157810,0.274263,0.056558,0.299476
0.954242,2.928661,0.440199,0.287782
1.195671,2.682947,0.382836,0.290102
0.979923,2.009323,0.252503,0.291377
1.141921,2.792889,0.407867,0.287773
1.262202,2.845747,0.415913,0.295602
1.146101,2.386215,0.322258,0.293371
0.718032,1.429957,0.158832,0.293879
1.208886,2.935201,0.435134,0.295667
