beta,gama,rx,ry
1.378116,1.301154,0.190360,0.506082
1.408361,0.937700,0.208824,0.595253
0.803501,0.358872,0.093941,0.525829
1.004695,0.751691,0.117116,0.512628
1.684352,2.821441,0.406701,0.318660
1.688323,0.892895,0.312735,0.663811
2.126573,2.839056,0.418176,0.340657
1.221706,1.322756,0.164426,0.457685
1.152542,2.852228,0.419522,0.290427
0.578832,0.938077,0.095522,0.327573
0.884615,0.344499,0.112748,0.557856
1.358007,0.695554,0.217371,0.632677
1.374801,1.038848,0.192978,0.564072
0.815308,0.729299,0.089585,0.451101
2.446508,2.260622,0.409874,0.467491
2.418783,2.954549,0.441629,0.333913
1.688146,2.041052,0.283729,0.422173
2.104898,1.975663,0.348851,0.498618
1.227271,1.402501,0.171075,0.442847
1.895222,1.559353,0.311434,0.560990
2.496677,2.192170,0.421775,0.484521
1.262412,0.466155,0.214103,0.651481
2.071171,2.354749,0.357621,0.416161
1.713591,1.096712,0.293633,0.629308
2.313408,2.494336,0.394353,0.410660
0.344360,0.175647,0.048185,0.388460
1.706100,0.899807,0.318368,0.665706
2.018845,1.647301,0.340076,0.559477
2.033754,2.150531,0.339102,0.452500
1.428554,0.229818,0.329023,0.719891
2.243310,2.487585,0.386443,0.406633
0.856630,0.243581,0.115580,0.568413
1.008871,0.462738,0.134235,0.576226
2.038546,1.863803,0.336114,0.514618
0.841339,1.665014,0.193538,0.296561
2.126984,2.070290,0.353287,0.480789
2.511898,2.495060,0.417778,0.422546
1.106260,2.245403,0.294996,0.295381
1.558171,0.217258,0.393570,0.735609
1.619304,2.499223,0.345476,0.342413
0.050263,0.008549,0.050295,0.309706
1.367970,2.936345,0.432477,0.301038
1.388347,2.521212,0.346079,0.314237
0.882012,0.431203,0.105715,0.539110
1.758582,1.528496,0.276305,0.543813
2.097650,1.436582,0.385844,0.612133
0.557405,0.036652,0.072574,0.498996
1.509881,2.632104,0.368543,0.318981
2.013578,1.469017,0.353899,0.596800
1.094806,1.827539,0.216944,0.335709
1.199737,2.489856,0.342167,0.295284
1.421217,1.346788,0.199637,0.507843
0.455452,0.194018,0.053159,0.427743
1.161241,2.836256,0.415937,0.290288
1.633415,1.479540,0.246403,0.529154
1.245323,2.075506,0.260892,0.335337
1.594928,0.190535,0.417976,0.739484
1.516792,2.663603,0.374814,0.317249
2.382578,1.760922,0.433358,0.566839
2.437427,2.761866,0.423458,0.367512
0.890732,1.782754,0.213164,0.294854
1.431481,0.475328,0.279970,0.688583
0.657124,1.281954,0.138973,0.297103
1.860346,1.260920,0.326088,0.619784
1.961108,1.204022,0.369789,0.643098
0.452222,0.760876,0.081059,0.315823
1.456397,2.359623,0.316135,0.337357
0.436031,0.064851,0.055006,0.446440
0.770617,1.503665,0.168815,0.298275
2.289019,2.495711,0.391871,0.408568
1.170859,2.398648,0.324428,0.295766
2.215434,1.329119,0.443974,0.637761
0.560832,0.673882,0.070836,0.370628
0.952443,1.894744,0.231600,0.296540
1.265963,0.088848,0.287211,0.707345
1.410162,2.050696,0.261868,0.369432
1.467484,1.783844,0.232875,0.427539
0.941529,0.119016,0.155892,0.619588
0.144738,0.134979,0.049714,0.320528
1.831342,2.237626,0.320226,0.408376
2.235553,1.619287,0.407166,0.586786
0.529135,0.948793,0.098625,0.309363
2.218752,2.221277,0.371233,0.458023
1.180355,0.453371,0.187091,0.631227
1.976125,1.323577,0.358768,0.621670
1.996926,1.650503,0.333899,0.555969
1.174315,2.097488,0.265122,0.319767
2.129612,1.216265,0.431517,0.652801
1.713319,2.258283,0.311492,0.387727
2.460438,2.852414,0.432621,0.352566
2.111702,2.643574,0.390641,0.368476
1.873218,2.706445,0.388993,0.341962
1.802133,0.502223,0.441738,0.727659
1.265995,2.115143,0.268682,0.334421
1.237220,2.475486,0.338359,0.299908
1.816518,2.739918,0.393300,0.334132
0.967443,0.004537,0.183851,0.645865
1.179664,2.092218,0.264298,0.321072
0.836385,0.854319,0.095272,0.432243
1.084050,0.669222,0.137974,0.557417
0.787199,1.050026,0.106930,0.376334
0.489332,0.318361,0.054867,0.415203
1.299844,0.457114,0.229678,0.662497
0.709731,0.548515,0.074680,0.450969
1.832294,1.098780,0.337142,0.647217
1.037011,1.168260,0.133100,0.434242
1.427871,1.883693,0.240250,0.400328
1.786783,1.751355,0.281414,0.499711
0.897409,1.113475,0.117621,0.400272
1.164793,2.245653,0.293672,0.304647
1.572967,2.212258,0.295793,0.373698
0.948738,0.116829,0.158826,0.622490
0.773351,1.533279,0.173678,0.295473
1.658706,1.319679,0.257569,0.570383
1.903823,1.816269,0.306671,0.505525
1.604310,2.436751,0.333769,0.347905
2.038690,1.486004,0.360333,0.596326
2.277240,2.033980,0.383995,0.503349
0.919882,0.933910,0.107414,0.444280
0.773479,0.625163,0.082797,0.458062
2.496031,2.756476,0.427183,0.370925
1.534132,1.847590,0.246639,0.429664
1.345155,2.509560,0.343920,0.310385
1.346117,0.229790,0.292280,0.706103
2.361993,2.247213,0.395478,0.464844
1.952035,2.425624,0.352723,0.390162
0.507979,0.121856,0.060176,0.462940
0.732656,1.184102,0.122208,0.334824
1.787264,0.690094,0.392506,0.707736
1.240711,2.962455,0.440037,0.297812
0.825413,1.591875,0.181506,0.301418
2.018572,2.054321,0.333211,0.470711
2.333752,2.408612,0.393036,0.429350
1.423220,1.948985,0.247977,0.388242
1.721569,0.918139,0.321767,0.664901
1.922448,1.660977,0.313779,0.542586
0.833743,1.424020,0.153815,0.326548
1.646610,1.520618,0.249165,0.522901
1.364008,0.476058,0.251561,0.674308
1.568309,2.509842,0.346293,0.335613
