x,y,beta,gamma,rx,ry
0,0,0.0013,0.0093,0.004,0.0078
0,1,0.003,0.0032,0.0083,0.0049
0,2,0.0014,0.0049,0.0004,0.0002
0,3,0.0036,0.0051,0.0039,0.0089
0,4,0.0096,0.007,0.0056,0.0048
0,5,0.008,0.0032,0.0082,0.0015
0,6,0.0089,0.0054,0.0065,0.004
0,7,0.0069,0.0069,0.0035,0.0081
0,8,0.0061,0.0075,0.006,0.0091
0,9,0.0008,0.0043,0.0041,0.002
0,10,0.0092,0.0043,0.0022,0.003
0,11,0.0095,0.0059,0.0018,0.009
0,12,0.0029,0.0074,0.004,0.001
0,13,0.0007,0.0021,0.0024,0.0096
0,14,0.0075,0.0089,0.0036,0.0044
0,15,0.0057,0.0071,0.0026,0.0019
0,16,0.0047,0.0084,0.0011,0.0054
0,17,0.0028,0.0052,0.0074,0.0022
0,18,0.0095,0.0095,0.005,0.0089
0,19,0.0055,0.0068,0.0081,0.0084
0,20,0.0043,0.002,0.0093,0.0048
0,21,0.0041,0.0018,0.0045,0.0016
0,22,0.0006,0.0079,0.006,0.0061
0,23,0.0049,0.0084,0.008,0.0095
0,24,0.0069,0.0089,0.005,0.0096
0,25,0.004,0.0023,0.0019,0.0034
0,26,0.0019,0.0067,0.0023,0.0073
0,27,0.0036,0.0005,0.0056,0.0077
0,28,0.0023,0.005,0.0026,0.0064
0,29,0.0068,0.0069,0.0078,0.0072
0,30,0.005,0.0037,0.0034,0
0,31,0.0022,0.0013,0.0093,0.009
0,32,0.0003,0.0044,0.0087,0.0041
0,33,0.0066,0.0005,0.0076,0.0085
0,34,0.0072,0,0.0057,0.0007
0,35,0.0003,0.0015,0.0084,0.0024
1,0,0.0065,0.0009,0.0088,0.0033
1,1,0.0078,0.0068,0.0006,0.0027
1,2,0.0006,0.0039,0.0026,0.0027
1,3,0.0052,0.002,0.0018,0.0054
1,4,0.0063,0.0004,0.0095,0.003
1,5,0.0007,0.007,0.0014,0.0079
1,6,0.007,0.0072,0.0084,0.0071
1,7,0.0087,0.0069,0.0095,0.0051
1,8,0.0076,0.0083,0.0084,0.0055
1,9,0.005,0.0089,0.0081,0.0054
1,10,0.0029,0.0008,0.0081,0.0079
1,11,0.0026,0.0097,0.0034,0.0089
1,12,0,0.0031,0.002,0.0007
1,13,0,0.0035,0.0084,0.0071
1,14,0.0008,0.0069,0.0041,0.0093
1,15,0.0037,0.0036,0.0045,0.0014
1,16,0.002,0.0029,0.0068,0.0068
1,17,0.0019,0.005,0.0023,0.0046
1,18,0.0056,0.0004,0.0024,0.0082
1,19,0.0002,0.0059,0.0073,0.0001
1,20,0.0088,0.0093,0.0008,0.0088
1,21,0.0027,0.0093,0.0058,0.0035
1,22,0.0061,0.0098,0.0029,0
1,23,0.0035,0.0075,0.0012,0.0053
1,24,0.0005,0.008,0.0022,0.0022
1,25,0.0031,0.0045,0.0066,0.0085
1,26,0.0049,0.009,0.0069,0.005
1,27,0.0048,0.0043,0.0051,0.0037
1,28,0.0035,0.0057,0.0025,0.0063
1,29,0.0049,0.0081,0.0096,0.0012
1,30,0.008,0.0027,0.0012,0.0016
1,31,0.0001,0.0024,0.0069,0.0004
1,32,0.0004,0.0089,0.0024,0.0033
1,33,0.0036,0.009,0.002,0.0083
1,34,0.0079,0.0089,0.0032,0.0029
1,35,0.0031,0.0081,0.0064,0.0066
2,0,0.004,0.0087,0.003,0.0089
2,1,0.007,0.0028,0.0002,0.0051
2,2,0.0053,0.0012,0.0066,0.0052
2,3,0.0035,0.0034,0.0054,0.0037
2,4,0.0025,0.0078,0.007,0.0059
2,5,0.0067,0.009,0.0043,0.0047
2,6,0.0078,0.0074,0.0074,0.001
2,7,0.0056,0.0038,0.0075,0.0096
2,8,0.0026,0.0004,0.0085,0.0096
2,9,0.003,0.0085,0.0047,0.0083
2,10,0.0096,0.0014,0.0034,0.003
2,11,0.0046,0.0088,0.0067,0.0071
2,12,0.0067,0.0038,0.0031,0.0033
2,13,0.0028,0.0073,0.0081,0.0007
2,14,0.0048,0.0054,0.0016,0.0005
2,15,0.0092,0.0091,0.0001,0.002
2,16,0.0095,0.0084,0.0015,0.0027
2,17,0.007,0.0062,0.0009,0.0065
2,18,0.0074,0.0044,0.0095,0.0022
2,19,0.0031,0.0063,0.0091,0
2,20,0.0001,0.0024,0.0033,0.0027
2,21,0.0095,0.0013,0.0034,0.0044
2,22,0.0068,0.0048,0.0047,0.0059
2,23,0.004,0.0046,0.0079,0.0035
2,24,0.0031,0.0093,0.006,0.0001
2,25,0.0054,0.0067,0.0064,0.003
2,26,0.0012,0.0061,0.005,0.0042
2,27,0.0023,0.0042,0.0042,0.0024
2,28,0.0064,0.0073,0.0051,0.006
2,29,0.0085,0.0084,0.0003,0.0052
2,30,0.0033,0.0051,0.0012,0.0072
2,31,0.0095,0.009,0.0006,0.0026
2,32,0.0084,0.0064,0.0027,0.0037
2,33,0.0032,0.0091,0.0067,0.0043
2,34,0.0051,0.0016,0.0085,0.0075
2,35,0.0057,0.0026,0.0097,0.0022
3,0,0.0097,0.0048,0.0083,0.0083
3,1,0.0033,0.0084,0.0034,0.0064
3,2,0.0036,0.0047,0.0035,0.0031
3,3,0.0036,0.0039,0.0057,0.0019
3,4,0.0004,0.0082,0.0056,0.0037
3,5,0.0072,0.0023,0.0078,0.0025
3,6,0.0039,0.0064,0.0098,0.0094
3,7,0.0088,0.0096,0.0018,0.0086
3,8,0.0045,0,0.0071,0.0076
3,9,0.0084,0.0006,0.004,0.002
3,10,0.0051,0.0073,0.0051,0.0087
3,11,0.0014,0.0009,0.0005,0.0016
3,12,0.0089,0.0062,0.0051,0.0062
3,13,0.0083,0.003,0.0085,0.0023
3,14,0.0092,0.0084,0.0017,0.0081
3,15,0.008,0.0035,0.0069,0.0024
3,16,0.0033,0.0039,0,0.0018
3,17,0.0043,0.004,0.0036,0.0095
3,18,0.0014,0.0085,0.0081,0.0026
3,19,0.0092,0.0087,0.0043,0.0082
3,20,0.0048,0.0092,0.0046,0.0032
3,21,0.0024,0.003,0.0053,0.0015
3,22,0.0016,0.007,0.0097,0.0094
3,23,0.0006,0.0065,0.0019,0.0037
3,24,0.0005,0.0019,0.0054,0.0048
3,25,0.0057,0.009,0.0044,0.007
3,26,0.0077,0.0025,0.0096,0.007
3,27,0.0013,0.0038,0.0052,0.0061
3,28,0.0032,0.0098,0.0093,0.0054
3,29,0.0027,0.0047,0.0069,0.0043
3,30,0.0019,0.0065,0.0036,0.0023
3,31,0.0031,0.0056,0.0061,0.0036
3,32,0.0073,0.0014,0.0085,0.0032
3,33,0.0005,0.0028,0.0003,0.008
3,34,0.0053,0,0.005,0.0064
3,35,0.0037,0.0003,0.0026,0.0067
4,0,0,0.0018,0.0022,0.0027
4,1,0.0066,0.0089,0.0069,0.0083
4,2,0.0054,0.0006,0.0007,0.0085
4,3,0.0062,0.0066,0.0023,0.0037
4,4,0.0078,0.0007,0.0069,0.0084
4,5,0.0033,0.007,0.0063,0.0087
4,6,0.007,0.0014,0.0052,0.0006
4,7,0.0017,0.0077,0.0073,0.0017
4,8,0.0095,0.0093,0.0043,0.006
4,9,0.0082,0.0013,0.0044,0.0037
4,10,0.0019,0.005,0.0023,0.008
4,11,0.0015,0.0044,0.0016,0.0094
4,12,0.0049,0.0083,0.0077,0.0083
4,13,0.0054,0.0041,0.0069,0.0023
4,14,0.0054,0.0022,0.003,0.0071
4,15,0.0097,0.0002,0.0087,0.0094
4,16,0.0094,0.0031,0.0055,0.0077
4,17,0.0044,0.0001,0.0013,0.0061
4,18,0.0049,0.0036,0.0042,0.0064
4,19,0.0079,0.0058,0.0059,0.0029
4,20,0.004,0.0037,0.0011,0.0094
4,21,0.0077,0.008,0.0019,0.0032
4,22,0.0004,0.0049,0.0002,0
4,23,0.0049,0.0089,0.0094,0.0044
4,24,0.0019,0.0049,0.0022,0.0061
4,25,0.0048,0.0033,0.0022,0.0097
4,26,0.007,0.0064,0.0062,0.0048
4,27,0.0022,0.0021,0.0075,0.0062
4,28,0.0056,0.0087,0.0056,0.0034
4,29,0.0068,0.0075,0.0066,0.007
4,30,0.0023,0.0069,0.0071,0.0072
4,31,0.0057,0.0066,0.0018,0.0075
4,32,0.0014,0.0038,0.0037,0.0062
4,33,0.0072,0.0057,0.006,0.0041
4,34,0.0023,0.0022,0.0087,0.0043
4,35,0.0043,0.0063,0.0004,0
5,0,0.0051,0.006,0.0035,0.0021
5,1,0.0034,0,0.0089,0.0057
5,2,0.0067,0.0061,0.0029,0.0024
5,3,0.0027,0.0045,0,0.0041
5,4,0.0081,0.0035,0.0005,0.0052
5,5,0.0093,0.0065,0.0093,0.0015
5,6,0.0085,0.0079,0.0056,0.0029
5,7,0.0044,0.0058,0.0028,0.0093
5,8,0.002,0.0063,0.0013,0.0052
5,9,0.0061,0.0004,0.0011,0.0028
5,10,0.0065,0.0038,0.0052,0.0092
5,11,0.0083,0.005,0.0035,0.0065
5,12,0.0085,0.0038,0.0019,0.0077
5,13,0.0002,0.0011,0.009,0.0088
5,14,0.0091,0.0045,0.0018,0.0034
5,15,0.0005,0.0046,0.0028,0.0023
5,16,0.0008,0.0042,0.0075,0.0068
5,17,0.0046,0.0084,0.0096,0.0012
5,18,0.0023,0.0049,0.0004,0.0007
5,19,0,0.0037,0.0071,0.0083
5,20,0.0075,0.009,0.006,0.0077
5,21,0,0.0049,0.0066,0.0091
5,22,0.0095,0.0083,0.0024,0.0001
5,23,0.0028,0.0053,0.0024,0.0037
5,24,0.0093,0.0097,0.0006,0.004
5,25,0.0083,0.0001,0.005,0.0007
5,26,0.005,0.0054,0.0015,0.0048
5,27,0.0089,0.0086,0.003,0.0065
5,28,0.0075,0.009,0.0042,0.0075
5,29,0.0041,0.0009,0.0066,0.0035
5,30,0.009,0.009,0.0036,0.002
5,31,0.0042,0.0058,0.0057,0.0036
5,32,0.0056,0.0061,0.0074,0.004
5,33,0.0062,0.0026,0.0046,0.0011
5,34,0.0078,0.0059,0.0057,0.0069
5,35,0.0044,0.0087,0.0033,0.002
6,0,0.0079,0.0075,0.0093,0.0019
6,1,0.0083,0.0058,0.0054,0.0074
6,2,0.0048,0.0088,0.0094,0.009
6,3,0.0047,0.005,0.0026,0.0002
6,4,0.001,0.0001,0.0041,0.007
6,5,0.0025,0.0087,0.0079,0.0005
6,6,0.0047,0.0037,0.0072,0.0091
6,7,0.0026,0.0006,0.0012,0.0004
6,8,0.008,0.0004,0.0023,0.0064
6,9,0.0063,0.0075,0.0037,0.0012
6,10,0.0062,0.0031,0.0001,0.0008
6,11,0.0079,0.0027,0.001,0.0088
6,12,0.0027,0.0051,0.0059,0.0052
6,13,0.0039,0.0038,0.0057,0.0084
6,14,0.0075,0.0028,0.0076,0.0002
6,15,0.0035,0.0086,0.0004,0.0014
6,16,0.0091,0.0025,0.0078,0.0053
6,17,0.0001,0.0014,0.0065,0.0061
6,18,0.0045,0.0064,0.0069,0.0024
6,19,0.0092,0.008,0.0013,0.0018
6,20,0.003,0.007,0.007,0.0068
6,21,0.0009,0.0027,0.0053,0.0085
6,22,0.0055,0.0031,0.0085,0.009
6,23,0.0018,0.009,0.0003,0.0008
6,24,0.0016,0.0079,0.0061,0.0016
6,25,0.0094,0.0025,0.0075,0.0038
6,26,0.009,0.0046,0.0062,0.0083
6,27,0.0025,0.0073,0.0002,0.0055
6,28,0.0045,0.007,0.0024,0.0054
6,29,0.0097,0.0076,0.0038,0.0054
6,30,0.0008,0.0025,0.0043,0.0024
6,31,0.0014,0.0047,0.0033,0.0028
6,32,0.0027,0.0092,0.0042,0.002
6,33,0.0019,0.0019,0.0059,0.001
