x,y,beta,gama,rx,ry
0,0,2.43007,2.75873,0.425865,0.368611
0,1,2.43539,2.70972,0.423652,0.378147
0,2,2.4506,2.64385,0.421286,0.391359
0,3,2.46558,2.57792,0.419401,0.404743
0,4,2.46287,2.51443,0.417352,0.417069
0,5,2.45719,2.43708,0.41624,0.432265
0,6,2.45473,2.34999,0.416193,0.449687
0,7,2.44639,2.25982,0.416276,0.467551
0,8,2.44072,2.17311,0.417601,0.484896
0,9,2.43076,2.09221,0.419123,0.500711
0,10,2.40679,2.0189,0.417716,0.51429
0,11,2.38231,1.94947,0.41627,0.526972
0,12,2.34502,1.87836,0.412352,0.538372
0,13,2.30674,1.79076,0.409458,0.552622
0,14,2.25782,1.70542,0.404021,0.564765
0,15,2.19707,1.61697,0.395365,0.574996
0,16,2.10677,1.53742,0.375638,0.578022
0,17,1.9547,1.4253,0.340105,0.574445
0,18,1.75487,1.27732,0.29382,0.567981
0,19,1.54511,1.12592,0.245918,0.557894
0,20,1.35683,0.998361,0.204171,0.543422
0,21,1.19991,0.905326,0.170701,0.524745
0,22,1.06787,0.839926,0.144187,0.502707
0,23,0.959842,0.798344,0.123284,0.480324
0,24,0.888599,0.787255,0.109598,0.461571
0,25,0.841962,0.744577,0.104471,0.454643
0,26,0.774929,0.707389,0.0976232,0.439228
0,27,0.699209,0.671825,0.0903342,0.420154
0,28,0.623482,0.646298,0.084913,0.398669
0,29,0.556994,0.637269,0.0808357,0.377032
0,30,0.519844,0.573698,0.0773566,0.375927
0,31,0.476136,0.504077,0.0733503,0.373529
0,32,0.431239,0.437757,0.0694933,0.369966
0,33,0.406484,0.363417,0.0657766,0.375225
0,34,0.372692,0.287625,0.0623262,0.377339
0,35,0.325225,0.228379,0.0586352,0.370999
1,0,2.38721,2.75672,0.423701,0.367277
1,1,2.40172,2.71497,0.422109,0.375729
1,2,2.42142,2.64932,0.419702,0.388983
1,3,2.43533,2.57933,0.417352,0.403029
1,4,2.43825,2.50984,0.415043,0.416715
1,5,2.4355,2.43147,0.413714,0.432165
1,6,2.43006,2.34324,0.412711,0.449615
1,7,2.4223,2.25753,0.412092,0.466549
1,8,2.41448,2.1741,0.412714,0.483036
1,9,2.40164,2.09307,0.413028,0.498756
1,10,2.38145,2.01674,0.412114,0.513154
1,11,2.35843,1.94866,0.41047,0.52564
1,12,2.32567,1.87887,0.407399,0.536747
1,13,2.28305,1.79011,0.402943,0.550573
1,14,2.23076,1.70364,0.396093,0.562118
1,15,2.16242,1.61386,0.384576,0.571316
1,16,2.06335,1.51599,0.363886,0.576161
1,17,1.91188,1.39103,0.329717,0.575974
1,18,1.72265,1.24192,0.286409,0.572048
1,19,1.53141,1.09736,0.24298,0.56427
1,20,1.36319,0.979326,0.205685,0.552111
1,21,1.22139,0.892494,0.175233,0.535552
1,22,1.09763,0.829301,0.149642,0.515463
1,23,0.99473,0.784995,0.129235,0.495054
1,24,0.927783,0.760293,0.116122,0.480371
1,25,0.878867,0.729307,0.109423,0.470658
1,26,0.814843,0.693863,0.102426,0.45596
1,27,0.737971,0.65822,0.0945951,0.436531
1,28,0.664677,0.628336,0.0880576,0.416871
1,29,0.603708,0.597995,0.0833577,0.401359
1,30,0.5581,0.545365,0.0794426,0.395355
1,31,0.516792,0.478175,0.0755162,0.393542
1,32,0.480612,0.409649,0.0716758,0.393757
1,33,0.450545,0.340296,0.0680647,0.396264
1,34,0.420735,0.273202,0.065097,0.398341
1,35,0.397058,0.225821,0.0628165,0.398796
2,0,2.3376,2.77139,0.42242,0.362619
2,1,2.36677,2.71346,0.419741,0.374352
2,2,2.38732,2.64691,0.416931,0.38767
2,3,2.40072,2.57545,0.414362,0.401936
2,4,2.40635,2.50026,0.412042,0.416852
2,5,2.4053,2.41916,0.410026,0.432852
2,6,2.40061,2.33313,0.408426,0.449855
2,7,2.39248,2.25239,0.406906,0.465717
2,8,2.38324,2.1715,0.406818,0.481569
2,9,2.36945,2.09209,0.406366,0.496875
2,10,2.35222,2.0178,0.40559,0.510938
2,11,2.3308,1.95087,0.403806,0.523173
2,12,2.29853,1.87752,0.400695,0.534701
2,13,2.25114,1.78369,0.394716,0.548724
2,14,2.19217,1.69273,0.385707,0.560369
2,15,2.11472,1.59495,0.371621,0.569422
2,16,2.00399,1.47997,0.348676,0.575939
2,17,1.85305,1.34368,0.315505,0.578088
2,18,1.68069,1.19729,0.276694,0.576933
2,19,1.51544,1.06493,0.239408,0.571874
2,20,1.37345,0.960631,0.207802,0.56264
2,21,1.25023,0.881529,0.181032,0.548774
2,22,1.13751,0.818852,0.157484,0.531193
2,23,1.04102,0.769661,0.137882,0.513709
2,24,0.972943,0.738242,0.124206,0.500094
2,25,0.920757,0.711869,0.11464,0.489038
2,26,0.862048,0.678981,0.108658,0.475469
2,27,0.787809,0.641081,0.100391,0.457492
2,28,0.718258,0.605002,0.0920992,0.440583
2,29,0.660761,0.563657,0.0876593,0.428568
2,30,0.611831,0.509463,0.0834678,0.421881
2,31,0.571822,0.445169,0.0792062,0.420241
2,32,0.539883,0.380521,0.0751806,0.421484
2,33,0.509996,0.317211,0.0724461,0.423044
2,34,0.483545,0.255681,0.0698457,0.425477
2,35,0.466258,0.206412,0.0669936,0.428921
3,0,2.33386,2.72533,0.417671,0.370213
